name,rate,Mean Rating,cuisines,cost
Gorbandh,4.1,3.81,fast food north indian,400.0
Grills & Rolls,2.5,1.44,north indian chinese fast food rolls juices,400.0
Bathinda Junction,3.9,3.57,north indian,600.0
Stories,4.2,3.96,american chinese continental north indian,1.2
New Gongura's,3.7,3.22,andhra biryani north indian chinese,550.0
Sagar Grand,3.8,3.37,south indian north indian chinese,300.0
Kanti Sweets,4.0,3.54,mithai street food,400.0
UBQ By Barbeque Nation,3.4,2.78,north indian bbq biryani kebab,450.0
Agarwal Food Service,3.8,3.37,north indian chinese biryani,400.0
Daniyal's,3.1,2.58,north indian biryani mughlai kebab,800.0
Seasons,3.8,3.37,north indian south indian chinese seafood kerala arabian juices,1.0
Chef Delicacies,3.1,2.33,kebab rolls charcoal chicken,400.0
Chung Wah,4.0,3.47,chinese thai momos vietnamese,800.0
Indiana Burgers,3.4,2.85,burger,300.0
Moksha,3.6,3.07,chinese north indian andhra south indian,1.5
Marwa Restaurant,3.5,2.93,north indian chinese fast food bbq,600.0
Chaatimes,3.9,3.39,street food fast food,200.0
Shanghai Court,4.2,3.96,chinese thai,700.0
Akshaya Donne Biriyani,3.1,2.33,biryani south indian kebab,300.0
Sweet Truth,3.7,3.52,bakery desserts,500.0
Bhojohori Manna,3.7,3.22,bengali mughlai,650.0
Richie Rich,3.1,2.33,desserts ice cream beverages,250.0
Hunger Bee,3.8,3.37,biryani north indian south indian,500.0
Yum In My Tum,4.1,3.81,chinese continental fast food healthy food,300.0
Maggi N Maggi House,3.4,2.78,fast food,300.0
Fresh Dinner,3.1,2.33,north indian biryani,500.0
B.M.W Bhookh Mitaane Wala,3.5,2.93,north indian south indian chinese,500.0
Biryani Miya,3.7,3.3,biryani north indian,600.0
Krispy Kreme,3.7,3.44,desserts beverages,300.0
Paani Kum Chai,4.0,3.67,beverages fast food,200.0
Chulha Chauki Da Dhaba,4.2,3.96,north indian,800.0
SGS Non Veg - Gundu Pulav,3.9,3.43,biryani south indian,300.0
Dreamcatcher,3.9,3.52,cafe,600.0
Magix's Parattha Roll,3.7,3.22,fast food north indian chinese mughlai rolls,400.0
Elegant Dining,3.6,3.07,biryani north indian chinese,700.0
AlienSip,3.6,3.07,juices,200.0
Waffle Head,4.0,3.67,desserts beverages bakery ice cream,300.0
Samruddhi Biryani,3.0,2.19,biryani north indian,700.0
Ande Ka Funda,3.2,3.07,north indian fast food rolls,250.0
Basmati Delights,4.0,3.67,biryani chinese mughlai fast food kebab,500.0
Charlee's Chicken,3.2,2.48,rolls chinese fast food,300.0
Samosa Singh,4.0,3.67,street food fast food rolls desserts,200.0
Cravings,3.7,3.22,north indian chinese rolls,400.0
Nagas,3.1,2.33,andhra,300.0
Matka,3.7,3.15,biryani north indian,500.0
Punjabi Swag,3.9,3.52,north indian,500.0
Taco Bell,3.7,3.22,mexican american fast food,600.0
Ambur Star Dum Biryani,3.4,2.78,biryani,100.0
Mother's Rasoi,3.8,3.37,north indian chinese momos,250.0
Dosa Bazaar,4.0,3.67,street food south indian,200.0
Babu Moshai,3.0,2.19,fast food bengali,500.0
The Bong Palate,3.8,3.37,bengali north indian chinese,300.0
Gowdru Mane Oota,3.7,3.22,south indian andhra,400.0
Banashankari Nati Style,3.6,3.07,south indian,300.0
Upahara Darshini,4.0,3.62,south indian north indian chinese,400.0
Chandrima's Kitchen,3.7,3.22,bengali north indian,400.0
Keventers,3.8,3.3,desserts beverages ice cream,400.0
Bikaner Jn,3.9,3.52,rajasthani,300.0
Lassi Berg,3.4,2.78,juices,100.0
Kakal-Kai Ruchi,3.7,3.22,north indian south indian chinese,500.0
Manchu Cafe,3.8,3.37,chinese fast food asian beverages nepalese tibetan,300.0
Calorie Express,3.6,3.07,healthy food,450.0
BANGALORE BOX,4.2,3.86,asian continental finger food,1.5
Yummy Momos,3.6,2.68,momos street food fast food tibetan chinese,200.0
Hotel Khaaja,3.1,2.33,biryani fast food,250.0
The Gujarat Express,3.1,2.33,street food mithai north indian,250.0
Ovenstory Pizza,4.0,3.57,pizza,750.0
Slate Cafe,4.1,3.81,cafe sandwich burger,600.0
Vishal Foods,3.3,2.63,chinese north indian street food,250.0
Lassi Darbar,3.5,2.93,ice cream juices beverages,200.0
Chavadi,4.4,4.26,continental north indian pizza italian,1.2
Nanna Munna Paratha House,4.0,3.67,north indian,300.0
Cucumber Town,4.2,3.96,kerala north indian,600.0
Sri Sai 99 Variety Dosa,3.7,3.22,south indian,300.0
Oye Amritsar,3.8,3.37,north indian,1.0
Kolkata Famous Kati Roll,3.5,2.93,rolls chinese,200.0
Nellore Ruchulu,3.7,3.22,north indian south indian chinese,800.0
Brewsky,4.4,4.26,continental american,1.6
Chefeana,4.0,3.67,north indian,400.0
Bangaliana,2.9,2.43,bengali,600.0
Gud Dhani,4.0,3.67,rajasthani,500.0
The Hunger Room,3.9,3.52,continental sandwich burger italian salad pizza,400.0
McDonald's,4.0,3.42,burger fast food,500.0
Parisar Veg Restaurant,3.6,3.07,chinese north indian south indian,400.0
WAFL,3.9,3.52,cafe fast food desserts beverages,400.0
Deejas Kitchen,3.9,3.52,south indian kerala,400.0
Pancuzzi,4.2,3.96,cafe beverages desserts,600.0
Zhang's - Chinese Restaurant,4.1,3.81,chinese momos,700.0
Shagun Sweets & Foods,3.5,2.93,mithai north indian street food chinese,400.0
Eat Well,2.9,2.04,north indian chinese,400.0
Dev's Gugababa,3.5,2.93,bengali north indian chinese,500.0
Oogway Express,3.9,3.52,chinese thai momos,600.0
Domino's Pizza,3.0,3.18,pizza fast food,800.0
Pizza Stop,3.9,3.22,pizza italian,600.0
Balaji Bombay Vada Pav Gujrati Dalebi,3.8,3.37,street food sandwich,150.0
The Cake Ville,3.2,2.48,bakery desserts fast food,300.0
The Egg Factory,4.0,3.67,continental american,750.0
Chow San,3.0,2.19,chinese thai momos,500.0
New Udupi Grand,3.5,2.93,south indian north indian chinese,300.0
New Karawali Lunch Home,3.5,2.93,mangalorean,350.0
SR Choco Station,3.4,2.78,desserts,200.0
Momo Jojo,4.3,4.11,chinese tibetan momos,300.0
Simply Indian,3.9,3.52,north indian chinese seafood biryani mangalorean,800.0
Delhi Biryani Cafe,3.5,2.93,north indian biryani,250.0
Rithika's Kitchen,3.8,3.37,biryani south indian andhra,350.0
Punjabi Times,4.1,3.81,north indian,1.0
Chai Point,3.6,2.96,tea beverages fast food,250.0
Cafe Coffee Day,3.7,2.7,cafe fast food,900.0
Cravy Wings,4.2,3.96,american burger fast food,400.0
Funky Punjab,3.9,3.52,north indian chinese,500.0
A1 Garam Masala,3.6,3.07,north indian south indian andhra chinese,600.0
Punjabi Corner,3.9,3.52,north indian chinese,250.0
Guru Palace,3.1,2.33,chinese north indian,450.0
#refuel,3.7,3.22,cafe beverages,400.0
Biggies Burger 'n' More,4.1,3.57,cafe burger beverages,650.0
Zeeshan,3.1,2.33,north indian mughlai biryani rolls,600.0
Ambara Gardenia,3.8,3.37,andhra north indian chinese seafood,800.0
LayerBite,3.8,3.37,bakery desserts beverages,450.0
Five Star Chicken,3.2,2.94,fast food burger,250.0
Bhavani Chats,3.6,3.07,street food,100.0
Shawarma Inc,3.2,2.38,rolls lebanese,250.0
More Pizza,3.8,3.15,pizza,450.0
Butterly,3.9,3.52,cafe bakery beverages,450.0
Crafted Plate,4.2,3.96,cafe asian burger continental italian salad,600.0
Shetty's Kitchen,3.7,3.22,mangalorean,600.0
Machali Port,3.9,3.52,mangalorean seafood north indian,750.0
Naati Manae,3.1,2.33,south indian biryani,500.0
Mad Over Biryani,3.3,2.63,biryani north indian,600.0
Garma Garam,3.2,2.48,north indian chinese biryani rolls,350.0
Sambram Biriyani Paradise,3.5,2.93,biryani north indian chinese,600.0
Mr. Meetharam,3.2,2.48,mithai street food,150.0
The Coastal Crew by Fujian on 24th,4.2,3.96,chinese thai seafood north indian momos,1.1
BIB - Breakfast in the Box,3.8,3.37,american sandwich,600.0
Angel Restaurant,2.8,1.89,kerala south indian north indian,450.0
Wow Momo,3.3,2.63,tibetan momos,300.0
Pizza Da Dhaba,2.9,2.26,fast food pizza,400.0
Kalpavruksha,3.9,3.52,south indian north indian,300.0
Juice Land,3.9,3.52,juices beverages,300.0
Tandoor And Spice,4.0,3.67,north indian chinese biryani hyderabadi,550.0
Rock Stone Ice Cream Factory,4.0,3.67,ice cream,230.0
Paratha Plaza,3.8,3.37,north indian,250.0
Krishna Vijayashree,3.5,2.93,biryani north indian chinese,700.0
Soup Station,3.6,3.07,continental,250.0
Tasty Point,3.3,2.63,burger sandwich finger food,300.0
Natural Mumbai Kulfi,3.5,2.93,ice cream,130.0
Namma Kudla,3.9,3.52,mangalorean north indian chinese seafood,400.0
Triveni,3.6,3.07,andhra north indian chinese,600.0
Wangs Kitchen,3.0,2.19,chinese,1.0
RK Fresh Food,3.5,2.93,fast food,300.0
Alif Restaurant,3.6,3.07,north indian chinese,600.0
Dine One One Restaurant,3.6,3.07,south indian continental north indian,500.0
Pallavas Veg Cuisine,3.6,3.07,north indian south indian chinese,600.0
The Food Cottage,3.7,3.22,hyderabadi north indian,350.0
Brundhavana Pure Veg,3.7,3.22,south indian north indian chinese beverages,500.0
Spice Up,3.8,3.37,chinese,600.0
Suryawanshi,3.7,3.62,maharashtrian seafood,700.0
Tempteys,4.2,3.96,beverages,500.0
DeliBox.in,3.7,3.22,south indian,150.0
FRYBIES,3.3,2.63,fast food,350.0
Crumb Together,4.1,3.81,continental finger food north indian chinese,1.2
The Foodyz,3.7,3.22,north indian chinese,500.0
Bean D'er Cafe,3.5,2.93,tamil fast food,250.0
Chaat Chatore,3.1,2.33,fast food,300.0
Black Mug Cafe,3.7,3.22,cafe,300.0
Taste Of Kolkata,3.1,2.33,bengali chinese rolls,400.0
Y Not Restaurant,3.1,2.33,fast food,300.0
24/7 Food Service,3.0,2.19,south indian north indian fast food,300.0
Meat And Eat,3.7,2.63,fast food burger,500.0
Modern Restaurant,3.0,2.19,north indian chinese,450.0
Vinaya Coffee Moments,3.7,3.27,burger cafe desserts sandwich italian,450.0
Burrito Boys,3.0,2.19,mexican texmex,400.0
Trippy Paradise,2.6,1.59,cafe,900.0
Biryani Magic,3.5,2.93,north indian biryani,300.0
Nagarjuna,4.2,3.96,andhra biryani,800.0
Laddoos,3.4,2.78,north indian street food mithai,250.0
New Prashanth Hotel,3.1,2.95,south indian biryani chinese north indian,750.0
Waffle Stories,4.0,3.86,desserts beverages,300.0
Late Night,3.7,3.22,north indian chinese,500.0
Kettle & Kegs,3.3,2.53,tea beverages,200.0
Waffle Walle,4.3,4.19,desserts belgian beverages,500.0
Dakshin Cafe,4.1,3.52,south indian,100.0
Shake It Off,4.0,3.86,beverages fast food,600.0
Bombay Kulfi,3.7,3.27,desserts ice cream,150.0
Chaat Central,3.3,2.63,street food north indian,300.0
Two Friends Cauldron,4.1,3.81,continental italian american,700.0
Bun Town,4.0,3.67,cafe bakery,500.0
Garden Fresh,3.9,3.52,healthy food juices,200.0
Dhabeliwala,3.8,3.37,street food beverages gujarati,250.0
Rayaan's BBQ,3.3,2.63,north indian bbq,350.0
Chaat Junction,3.7,3.22,street food,200.0
Asharfilal,3.5,2.93,desserts,150.0
Street Foods by Punjab Grill,3.6,3.07,street food north indian beverages,800.0
Tiwari's Ghee Paratha and Chats,3.2,2.48,north indian street food,200.0
Spurthi Foods,3.7,3.22,andhra,300.0
Melting Pot at Woodrose,3.7,3.22,north indian,800.0
Pot Biryani,3.1,2.33,north indian chinese biryani seafood,600.0
Thanco's Natural Ice Cream,3.6,3.07,ice cream desserts,450.0
Mango Tree- The Beer Garden,4.1,3.81,north indian chinese continental,1.2
Dessi Cuppa,3.4,2.78,beverages fast food,300.0
Halli Mane MUDDE OOTA,3.5,2.93,south indian,300.0
Wow Vada Pav,3.3,2.63,fast food street food,150.0
The Jade Kitchen,4.0,3.67,chinese thai,400.0
Krishna Vaibhava,3.5,2.93,north indian south indian,350.0
Sandwichwallas,3.6,3.37,fast food,200.0
Drunken Monkey,4.4,3.85,beverages fast food,400.0
Woodee Pizza,2.7,2.48,cafe pizza fast food beverages,500.0
Nandhanus Rasoi,3.4,2.78,chinese rolls north indian,200.0
Donne Biriyani Mane,3.2,2.48,biryani,350.0
Fish And Dish,3.6,3.07,mangalorean chinese,350.0
Miss Momo,3.2,2.48,tibetan momos,250.0
Funky Punjab,3.9,3.52,north indian chinese,400.0
Intalia,3.6,3.07,pizza italian,800.0
Chicken County Restaurant,3.5,2.93,north indian chinese fast food,400.0
Velvet Kitchen,3.5,2.93,north indian chinese,600.0
Hotel Aradhana,3.7,3.22,north indian,300.0
The Chervil,4.2,3.96,north indian continental,1.0
Sri Rajasthani Foods,3.6,3.0,rajasthani north indian,200.0
New Royal Treat,2.8,1.89,north indian chinese,350.0
I Cool,4.0,3.67,juices fast food,150.0
Mahek Pizza,3.9,3.52,pizza,400.0
Asha Sweets Centre,3.9,3.16,fast food,250.0
KC Das- Sweet World,3.3,2.63,mithai street food,200.0
Stoned Monkey,3.9,3.91,desserts ice cream,500.0
Panther Cafe,3.5,2.93,beverages,200.0
Udupi Upachar,3.3,2.63,south indian north indian chinese street food,300.0
Juicy Momos,3.1,2.73,tibetan momos,250.0
Roots n Fruits,3.6,3.07,beverages juices healthy food,250.0
Kaizen Wellness Kitchen,3.7,3.22,asian continental european,800.0
Big Mishra Pedha,3.3,2.27,mithai desserts fast food,300.0
Mad Over Donuts,3.1,2.33,bakery desserts beverages,450.0
Kolkata Famous Kati Rolls,3.1,2.33,fast food rolls,100.0
Vinaya Cafe,3.7,3.0,south indian street food juices,200.0
RBP Greens Garden,2.7,1.74,north indian chinese,700.0
Dazu Momoz,3.1,2.33,tibetan momos,200.0
Desi Dhaba,3.3,2.63,north indian chinese,400.0
World of Waffles,3.9,3.52,desserts,400.0
Pika's Kitchen,3.4,2.78,continental italian,800.0
Lassi Cafe,3.4,2.78,beverages ice cream,150.0
New Mogul Empire,3.4,2.78,north indian chinese,300.0
Atithi Biryani Corner,3.3,2.63,biryani south indian,200.0
Oottupura Family Restaurant,3.4,2.78,kerala south indian biryani,400.0
Tisano Cafe,3.8,3.37,cafe fast food chinese continental,500.0
Yumme Veg,3.6,3.07,fast food street food,200.0
Shree Guru Raghavendra Chats Chintamani Special,3.6,3.07,street food fast food,200.0
Vyanjan,3.9,3.52,north indian street food,300.0
Havmor,3.5,3.19,ice cream desserts,200.0
Sri Sankara Cafe,3.6,3.07,south indian,100.0
Bhaijaan Barbeques,3.4,2.78,mughlai arabian bbq,200.0
Sri Krishna Sagar,3.4,2.6,south indian north indian chinese,300.0
Chatter Platter,3.5,2.93,street food north indian,300.0
Bikaneri Sweets,3.4,2.78,mithai street food,250.0
Watson's,4.0,3.67,finger food chinese continental,1.3
Sri Nandi Grand,3.4,2.78,north indian south indian,300.0
Chicken Man,3.8,3.37,roast chicken burger,400.0
Chef Baker's,3.6,3.07,bakery,450.0
Sree Ganesha Fruits & Juice,3.4,2.78,juices,100.0
Goli Vada Pav No. 1,3.2,3.07,street food,200.0
Nandhana Palace,4.1,3.81,andhra biryani north indian chinese,800.0
Biryani Nights,3.6,3.07,south indian north indian chinese,400.0
Thejas Bhavan,3.5,2.93,north indian south indian chinese,400.0
Graffitea,3.7,3.22,beverages fast food,200.0
Gappe,3.8,3.37,street food,200.0
On The Nose,3.8,3.37,cafe italian mexican chinese,600.0
Juicy & Spicy,3.1,2.33,bakery fast food,150.0
Eat Repeat Express,3.2,2.48,north indian south indian chinese biryani mexican,700.0
TFI - The Fresh Ice Cream,3.2,2.48,ice cream beverages,400.0
Mirch Masala,3.4,2.78,north indian,500.0
Just Chill,3.4,2.78,beverages,250.0
Bengalooru Tiffany's,3.0,2.19,south indian north indian chinese street food,400.0
Udupi Thaja Thindi,2.9,2.04,north indian south indian chinese fast food,250.0
Baba Ka Dhaba,3.7,3.22,north indian,400.0
Hot Burg,3.5,2.93,fast food juices,200.0
Northern Bites,3.3,2.63,north indian chinese,400.0
Hotel Smile,3.1,2.33,north indian chinese,400.0
Roll Wala,3.3,2.63,rolls juices,300.0
Natural Ice Cream,4.3,4.16,ice cream desserts,150.0
Biriyani Mane,3.7,3.27,biryani chinese north indian,700.0
F3 Food Fun Fiesta,3.3,2.63,chinese fast food north indian,500.0
Churchill's,4.1,3.81,north indian continental,1.1
Kulkarni's New Uttara Karnataka Food Speciality Stores,3.4,2.78,south indian,250.0
The Hungers Zone,3.8,3.37,fast food italian pizza,300.0
Brew Point,3.6,3.07,cafe american burger sandwich fast food,500.0
The Chocolate Room,3.9,3.52,cafe desserts,400.0
Aramane Restaurant,2.9,2.04,north indian south indian seafood biryani chinese,800.0
Hunger2Eat,3.8,3.37,biryani fast food north indian,400.0
BBQ Ride 46,3.4,2.78,bbq,200.0
Bawarchi Inn,3.1,2.33,north indian biryani andhra chinese,600.0
Ruh's Cafe,4.1,3.81,cafe american italian continental chinese,500.0
Eatery Have U Been,3.4,2.78,cafe chinese fast food burger north indian,500.0
Mojo Pizza - 2X Toppings,4.2,3.91,pizza,600.0
Upahar Banashree,3.4,2.78,south indian north indian,400.0
Me And My Cake,3.1,2.33,bakery desserts,500.0
Bhojon Tripti,2.9,2.04,bengali north indian,300.0
New South Corner,3.7,3.22,south indian north indian chinese,300.0
Khana Khazana,3.7,3.22,north indian,400.0
China Tang,3.7,3.22,chinese,600.0
California Burrito,4.0,3.67,mexican fast food,400.0
Tandoor Garden,3.6,3.07,north indian chinese kebab,350.0
Caffe Pascucci,4.0,3.67,continental italian beverages,1.3
Freeze It,3.6,2.98,ice cream,300.0
Meal Square,3.2,2.48,north indian chinese,600.0
Chaitanya Cafe,3.9,3.52,south indian north indian fast food,300.0
Anand Sweets and Savouries,4.1,3.44,mithai street food,400.0
Tasty Jigarthanda,3.4,2.78,beverages ice cream,150.0
Berrylicious,3.8,3.37,ice cream desserts bakery,400.0
RCS Kitchen,3.3,2.63,continental,500.0
Pappu Da Dhaba,3.0,2.19,north indian fast food beverages momos,400.0
Smoke - The Sizzler House,3.8,3.37,continental chinese thai italian bbq steak,1.1
Sandwich Shop,2.9,2.04,fast food burger sandwich,400.0
Joon Restaurant,3.7,3.22,arabian chinese north indian kerala juices,400.0
Shree Udupi Grand,3.8,3.22,south indian north indian chinese,600.0
Snack Knack,3.0,2.19,north indian chinese,200.0
Chung Wah Opus,3.0,2.19,chinese thai,650.0
Chef & Dine,3.2,2.48,north indian arabian fast food,650.0
Once In Nature,3.7,3.22,healthy food,300.0
Manjushree Upahara,3.8,3.37,south indian,150.0
Hotel Annapoorna,3.2,2.48,south indian chinese north indian seafood,400.0
Dream a Dozen,4.3,4.11,bakery desserts,300.0
Bread Crumbs Bakery,4.0,3.67,desserts bakery,250.0
Nite Out,3.9,3.52,north indian chinese biryani,500.0
Cupcake Bliss,3.5,2.78,bakery,250.0
Armaani Caffe,3.5,2.93,fast food,250.0
Muddhe Bytes,3.4,2.78,south indian biryani,300.0
Bombay Kulfis,3.5,2.93,ice cream,200.0
Willys Top Cafe,4.0,3.67,cafe continental asian,750.0
Mist n Creams,3.7,3.15,ice cream,400.0
Papacream,3.7,3.22,desserts ice cream,350.0
Woody's,2.6,1.59,chinese south indian north indian,650.0
JP Fish Land,3.6,3.07,seafood,300.0
Pepper Crown Restaurant,3.2,2.48,continental north indian chinese,700.0
Pizza Paradise,3.6,3.07,pizza,500.0
The Curry Hut Plus,3.4,2.78,north indian south indian chinese,400.0
Brews N Bites,2.7,1.89,chinese fast food cafe street food finger food,650.0
Skytouch Le Cafe,3.7,3.22,cafe italian desserts,700.0
Malabar Mess,3.7,3.22,kerala,250.0
Malabar Cafe,3.3,2.63,south indian kerala biryani,400.0
Tangra Indo - Chinese Cuisine,3.6,3.07,chinese thai,400.0
Juice Junction,2.9,2.04,juices fast food,150.0
Mudpipe Cafe,3.9,3.74,cafe continental north indian,800.0
Xpress Chai,3.3,2.93,tea fast food,150.0
Vaho Kafe & Pressery,3.9,3.52,cafe healthy food asian italian north indian biryani juices,500.0
Zhangs Classic,2.6,1.59,italian chinese japanese,600.0
Guru Greens,3.8,3.37,north indian chinese,550.0
D View Cafe,4.0,3.67,cafe italian chinese beverages,1.0
The Cuboidal,3.6,3.07,fast food beverages sandwich,300.0
Delifusion - Hunger Sorted,3.3,2.63,continental chinese north indian,500.0
Flavour of China,3.8,3.37,chinese,550.0
Gujrati Mess,3.6,3.07,gujarati,200.0
Cake-O-Mania,3.4,2.78,bakery desserts,300.0
The Park Inn Restaurant,3.0,2.19,north indian chinese,450.0
The Cravery,2.6,1.59,continental burger beverages cafe italian rolls,500.0
Eagle Ridge,3.2,2.48,south indian north indian chinese,700.0
Vidya Cafe,3.2,2.48,burger fast food desserts sandwich,300.0
Kabab Treat,2.8,1.89,north indian chinese,500.0
Limra Hotel,3.3,2.63,chinese north indian,300.0
Cafe Arabica,3.8,3.37,cafe bakery,700.0
Smoor,3.6,3.07,desserts cafe beverages,900.0
Kafe Nook,3.6,3.07,fast food,300.0
Kumbha Bhojanam,3.6,3.07,andhra,300.0
Yummerica Fries,3.3,2.63,fast food beverages,300.0
Frozen Bottle,3.6,3.59,beverages desserts ice cream,400.0
Casa Piccosa,4.1,3.81,south american continental italian,1.1
Rolls On Wheels,3.4,2.88,fast food rolls momos,300.0
Bake Addiction,4.0,3.67,bakery desserts,500.0
Tongue Twisters,3.5,2.93,bengali north indian oriya,350.0
Hot Rolls & House Of Kebabs,3.1,2.33,rolls kebab biryani,200.0
Aami Kolkata,3.3,2.63,bengali,600.0
Vaathsalya Millet Cafe,4.1,3.81,healthy food south indian,500.0
Chaatimes,4.1,3.39,street food fast food,250.0
Hungry Buddies,3.3,2.63,north indian,150.0
The Chaat Shop,3.2,1.7,street food,100.0
TheRiceBowl.In,3.4,2.78,biryani north indian,200.0
Guru Garden,2.9,2.04,north indian chinese,450.0
Cakes By M,3.4,2.78,bakery,500.0
Brewz Coffee,3.0,2.19,cafe,650.0
Fritz Haber,3.4,2.78,ice cream desserts,450.0
Athithi,2.8,1.89,andhra biryani chinese north indian,650.0
Shee-Sha Cafe,3.6,3.07,cafe north indian chinese continental,800.0
Melt - Eden Park,4.0,3.67,north indian chinese thai mughlai seafood,1.0
Roll N Rock,3.7,3.3,chinese north indian mughlai rolls,400.0
Smooth Blender,3.4,2.78,beverages,300.0
Sri Bhagya Grand,3.4,2.78,south indian north indian chinese street food beverages,450.0
Shree Guru Juice 'N' Ice,3.3,2.63,fast food chinese beverages,250.0
Bhavya Military Hotel,3.5,2.93,south indian,300.0
Neals Cafe,3.1,2.33,north indian chinese,550.0
Flavorsome Bakes,4.0,3.67,bakery desserts,800.0
Bake-ooh,3.7,3.22,bakery,350.0
The Yummy Tummy,3.5,2.93,north indian street food,200.0
Mast Kalandar,2.4,1.22,north indian,450.0
Sultan's Biryani,3.0,2.19,biryani north indian,700.0
Halli Sogasu,3.0,2.19,south indian andhra,600.0
Crepe Nation,3.8,3.37,fast food desserts,300.0
RICE BAR,3.1,2.33,north indian biryani,500.0
Kanika Biryani Paradise,3.4,2.78,north indian andhra biryani,700.0
Resto,3.7,3.22,chinese north indian fast food momos,350.0
New Tandoori Point,3.3,2.63,north indian chinese,600.0
Shiv Sagar,2.9,2.66,south indian street food,250.0
Little Shangai,3.3,2.63,chinese north indian fast food,400.0
Nadella's Kitchen,3.3,2.56,north indian biryani,300.0
Uncle's Kitchen,2.8,1.89,north indian chinese fast food,450.0
Coastal Inn,3.4,2.78,chinese north indian seafood,800.0
Mom's Momos,3.3,2.83,chinese,300.0
Aishwarya Parkland,2.9,2.04,chinese north indian,500.0
Slice of Spice,3.1,2.33,north indian chinese,400.0
Bao and Rolls,3.6,3.07,rolls kebab fast food,250.0
Andhra Bhojanam,3.6,3.07,north indian south indian andhra,600.0
Kanchan Dhaba,3.2,2.48,north indian chinese,350.0
Encyclofoodia,3.9,3.52,kerala north indian,350.0
Bella?s Kitchen,2.9,2.04,chinese seafood north indian,600.0
Food Feast Multicusine Restaurant,3.3,2.63,north indian chinese hyderabadi,600.0
Bangalir Rannaghar,2.9,2.04,bengali north indian chinese,250.0
Sai Samosa & Chat Corner,3.3,2.63,fast food street food,200.0
Lalchee's Rasoi,3.6,3.07,north indian chinese,500.0
Kailash Parbat,2.7,2.7,north indian street food,300.0
Dream's Kitchen,3.1,2.33,north indian andhra chinese,700.0
Tandoor Hut,2.2,1.0,north indian chinese,750.0
The Chocolatiers,3.5,2.93,desserts,150.0
Ballava,3.3,2.63,north indian south indian,400.0
Zaika Take Away,2.4,1.3,north indian chinese thai,500.0
Snackiey,3.5,2.93,north indian,250.0
Sandwich Mamas,3.2,2.48,fast food,300.0
The Shake Factory Originals,3.3,2.63,beverages fast food,200.0
Foodiction,2.9,1.96,north indian fast food chinese burger,500.0
Hotel Lakshmi Paradise,3.3,2.63,north indian mughlai,400.0
Desi Bites,3.3,2.63,street food,200.0
Shiv Sai,3.2,2.48,north indian,400.0
D2V Cafe,3.6,3.07,cafe,700.0
The Juicy,3.5,2.93,beverages juices,100.0
Feast and Burp,3.3,2.63,north indian,300.0
Zengi Pub & Restaurant,3.7,3.22,finger food continental chinese,900.0
Cafe Indiana,3.5,2.93,fast food desserts,600.0
Cafe Choco Craze,3.7,3.22,cafe fast food desserts,400.0
Multi Cakes,3.0,2.19,bakery desserts,200.0
Bhukkad,3.1,2.33,healthy food fast food,250.0
Malhar Maharashtrian Cuisine,4.0,3.67,maharashtrian,500.0
Mandi,3.8,3.37,north indian,800.0
Pallavi North Indian Veg Restaurant,3.7,3.22,biryani north indian chinese,450.0
Restro Cafe,3.8,3.37,cafe,400.0
Idly Pidly,3.2,2.48,south indian,250.0
Vasudev Adiga's,2.3,1.89,south indian north indian chinese street food juices,250.0
TGI Fridays,3.9,3.52,american burger italian steak,1.7
Just Bake,2.6,2.48,bakery desserts,400.0
Earth Plate Express,3.9,3.52,italian continental,600.0
Gharelu Zaika,3.7,3.22,north indian,250.0
Apsara Ice Cream,4.0,3.72,ice cream desserts,200.0
Jiyo Natural,3.6,3.07,healthy food north indian,300.0
Zyksha,3.4,2.78,fast food,200.0
Biryani Times,3.5,2.93,biryani,300.0
Targaryen's Kitchen,3.6,3.07,chinese north indian mughlai,600.0
Sakshi,3.0,2.19,north indian biryani chinese seafood,550.0
MK Dabbawala,3.0,2.19,north indian,400.0
Desi Vibes,3.7,3.22,north indian,400.0
The French Loaf,2.9,2.04,bakery desserts sandwich,400.0
Kulfi & More,3.7,2.93,ice cream desserts juices,150.0
Dal Roti,3.7,3.22,north indian,150.0
Deja Vu Resto Bar,4.4,4.26,north indian italian,900.0
Jhasaa,3.2,2.48,seafood salad north indian biryani chinese,500.0
Status,3.2,2.48,north indian chinese,600.0
Juice Fresco & Pizza,3.4,2.78,beverages pizza,300.0
BMR Hyderabad Biryani,3.6,3.07,biryani,400.0
Dakshin Food Palace,3.7,3.22,south indian north indian chinese,450.0
Darjeeling Momo Adda,3.1,2.33,chinese tibetan north indian momos,200.0
Bottle Breacher,4.1,3.81,italian continental,1.2
Special Biriyani,2.9,2.04,north indian biryani,300.0
Sattvam,4.3,4.11,north indian south indian,1.2
The Tucck Box,3.4,2.78,chinese south indian,300.0
Swad Plaza,3.4,2.78,north indian chinese,400.0
Sweet Chariot,2.8,1.89,bakery desserts fast food,500.0
Kesariya,4.2,3.96,rajasthani,1.2
Swad Restaurant,3.7,3.22,chinese north indian,550.0
Checkpost,4.1,3.81,south indian seafood rolls beverages,400.0
Mango Greens,3.9,3.52,north indian continental chinese,900.0
Nandhini Paradise,3.8,3.37,north indian,600.0
New Kabab Plaza,3.7,3.22,north indian chinese,500.0
Coastal Mama,4.1,3.81,konkan mangalorean north indian seafood,700.0
Waah Biryani,3.8,3.37,north indian chinese biryani,350.0
